idx,seed,key,espdl_size_bytes,torch_size_bytes
232,888,0,184944,552466
232,999,0,184944,552530
233,777,0,170048,560274
233,888,0,170048,560274
233,999,0,170048,560146
234,777,0,550176,2068785
234,888,0,550176,2067313
234,999,0,550176,2068657
236,777,0,526672,2052371
236,888,0,526672,2052499
236,999,0,526672,2052691
237,777,0,753248,2927345
237,888,0,753248,2927665
237,999,0,753248,2928177
238,777,0,764272,2952655
238,888,0,764272,2953103
238,999,0,764272,2953423
241,777,0,744112,3150633
241,888,0,744112,3149609
241,999,0,744112,3150185
242,777,0,760944,3151657
242,888,0,762320,3151977
242,999,0,761632,3151849
243,777,0,212624,733271
243,888,0,212624,733335
243,999,0,212624,733143
244,777,0,754784,3126411
244,888,0,756160,3126475
244,999,0,752016,3126091
245,777,0,483344,1881705
245,888,0,480592,1881321
245,999,0,480592,1881257
246,777,0,554512,2069745
246,888,0,553104,2069297
246,999,0,553808,2069617
247,777,0,236592,798513
247,888,0,240896,798193
247,999,0,236608,798577
249,777,0,552720,2074289
249,888,0,552720,2075249
249,999,0,552720,2074929
250,777,0,715920,2683285
250,888,0,715920,2683221
250,999,0,715920,2682901
251,777,0,430160,1653099
251,888,0,427280,1652843
251,999,0,427280,1652907
252,777,0,768144,2910803
252,888,200,769568,2894735
252,999,200,768864,2901799
253,777,200,315424,1185419
253,888,200,315424,1184843
253,999,200,315424,1185163
254,777,200,295728,980341
254,888,200,295728,980383
254,999,200,295728,980511
255,777,200,511552,1857985
255,888,200,512992,1858177
255,999,200,514448,1858433
256,777,200,502432,2054823
256,888,200,503120,2054119
256,999,200,504496,2054311
257,777,200,723312,2742947
257,888,200,723312,2743063
257,999,200,723312,2744745
258,777,200,698480,2674089
258,888,200,702032,2674409
258,999,200,698480,2674217
259,777,200,506864,1844393
259,888,200,506864,1844329
259,999,200,506864,1844393
260,777,200,207712,765213
260,888,200,208432,765213
260,999,200,209888,765149
262,777,200,465136,1662499
262,888,200,467280,1662755
262,999,200,467984,1662883
263,777,200,766480,2930799
263,888,200,766480,2930735
263,999,200,766480,2930735
264,777,200,774768,3167791
264,888,200,774080,3167791
264,999,200,774768,3167855
265,777,200,989888,4005423
265,888,200,989200,4005423
265,999,200,988496,4005423
266,777,200,494432,1866281
266,888,200,494432,1866409
266,999,200,493744,1866281
267,777,200,550832,2064943
267,888,200,547328,2065071
267,999,200,549424,2064879
268,777,200,983120,4029615
268,888,200,983120,4029615
268,999,200,983120,4029615
269,777,200,551568,2070255
269,888,200,551568,2070255
269,999,200,551568,2070255
270,777,200,498128,1884713
270,888,200,498128,1884713
270,999,200,498144,1884905
271,777,200,459680,1656995
271,888,200,460400,1656931
271,999,200,458960,1656931
272,777,200,451248,1633443
272,888,200,454848,1633763
272,999,200,453408,1633571
273,777,200,967344,3786095
273,888,200,967344,3786095
273,999,200,967344,3785775
274,777,200,1012768,4209269
274,888,200,1010720,4209205
274,999,200,1007328,4209205
275,777,200,681808,2680041
275,888,200,681808,2680233
275,999,200,681808,2680041
276,777,200,525680,1849513
276,888,200,525680,1849449
276,999,200,525680,1849385
277,777,200,1007664,3989941
277,888,200,1007664,3989877
277,999,200,1007664,3989877
278,777,200,427968,1598435
278,888,200,425872,1598435
278,999,200,425872,1598435
279,777,200,702672,2918633
279,888,200,700608,2918697
279,999,200,701296,2918697
280,777,200,230304,755363
