,Unnamed: 0,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5,dataset,espdl_size_bytes,torch_size_bytes,accuracy_fp32,accuracy_esp,idx,seed
18282,18282,nor_conv_1x1,nor_conv_3x3,nor_conv_3x3,nor_conv_3x3,avg_pool_3x3,skip_connect,cifar10,971776,4020462,92.1,92.13,9528,777
18283,18283,none,avg_pool_3x3,skip_connect,none,nor_conv_1x1,skip_connect,cifar10,236784,762037,75.15,24.84,9012,999
18284,18284,none,avg_pool_3x3,none,none,skip_connect,nor_conv_3x3,cifar10,460576,1628853,84.98,82.84,9843,777
18285,18285,none,nor_conv_3x3,skip_connect,none,nor_conv_3x3,skip_connect,cifar10,713568,2688189,91.7,29.64,9877,999
18286,18286,avg_pool_3x3,none,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,cifar10,454864,1690131,80.95,31.12,10566,888
18287,18287,nor_conv_1x1,skip_connect,nor_conv_1x1,nor_conv_1x1,skip_connect,nor_conv_1x1,cifar10,344496,1417193,89.46,89.2,10655,777
18288,18288,avg_pool_3x3,none,none,none,none,nor_conv_3x3,cifar10,432800,1636305,10.0,10.0,10120,888
18289,18289,avg_pool_3x3,nor_conv_3x3,none,avg_pool_3x3,skip_connect,skip_connect,cifar10,456112,1640743,87.83,78.13,10316,777
18290,18290,skip_connect,skip_connect,nor_conv_1x1,skip_connect,skip_connect,avg_pool_3x3,cifar10,199744,748334,79.04,44.53,9578,777
18291,18291,skip_connect,none,avg_pool_3x3,nor_conv_3x3,skip_connect,none,cifar10,441824,1623057,91.99,91.83,10514,777
18292,18292,avg_pool_3x3,nor_conv_1x1,none,none,nor_conv_1x1,none,cifar10,296512,998389,80.32,74.86,9705,888
18293,18293,nor_conv_3x3,nor_conv_1x1,none,nor_conv_3x3,nor_conv_1x1,nor_conv_1x1,cifar10,832320,3371965,93.47,93.49,9495,888
18294,18294,avg_pool_3x3,skip_connect,nor_conv_3x3,skip_connect,nor_conv_3x3,avg_pool_3x3,cifar10,675104,2724785,85.91,75.26,10221,888
18295,18295,nor_conv_3x3,none,skip_connect,avg_pool_3x3,nor_conv_1x1,avg_pool_3x3,cifar10,491008,1871865,91.5,90.14,10164,888
18296,18296,nor_conv_3x3,nor_conv_3x3,skip_connect,nor_conv_3x3,avg_pool_3x3,nor_conv_1x1,cifar10,978672,4020590,92.93,92.76,9624,777
18297,18297,skip_connect,none,nor_conv_3x3,nor_conv_3x3,nor_conv_3x3,none,cifar10,953296,3779069,92.01,91.95,9727,888
18298,18298,avg_pool_3x3,nor_conv_1x1,avg_pool_3x3,none,none,nor_conv_3x3,cifar10,507200,1878265,90.76,89.85,10076,888
18299,18299,nor_conv_3x3,avg_pool_3x3,skip_connect,nor_conv_1x1,none,nor_conv_1x1,cifar10,547440,2078069,92.14,91.61,10199,888
18300,18300,skip_connect,skip_connect,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,nor_conv_3x3,cifar10,682624,2724849,90.93,89.02,10372,777
18301,18301,skip_connect,nor_conv_1x1,nor_conv_3x3,nor_conv_3x3,avg_pool_3x3,avg_pool_3x3,cifar10,710496,2955715,90.62,88.19,10291,777
18302,18302,avg_pool_3x3,none,skip_connect,skip_connect,nor_conv_3x3,skip_connect,cifar10,442096,1615605,86.55,80.0,9454,888
18303,18303,nor_conv_3x3,none,skip_connect,none,nor_conv_3x3,nor_conv_1x1,cifar10,779360,2918717,91.55,91.06,9508,888
18304,18304,nor_conv_1x1,none,avg_pool_3x3,nor_conv_1x1,none,avg_pool_3x3,cifar10,300240,1018361,90.47,89.19,10061,777
18305,18305,avg_pool_3x3,none,skip_connect,none,nor_conv_3x3,skip_connect,cifar10,448704,1622197,84.81,80.76,9280,888
18306,18306,nor_conv_3x3,none,avg_pool_3x3,nor_conv_1x1,none,nor_conv_3x3,cifar10,777200,2943157,92.25,92.04,9863,777
18307,18307,skip_connect,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,avg_pool_3x3,nor_conv_3x3,cifar10,472784,1889415,89.93,87.17,10050,777
18308,18308,nor_conv_3x3,none,none,none,avg_pool_3x3,avg_pool_3x3,cifar10,468112,1653293,88.23,87.96,9911,888
18309,18309,avg_pool_3x3,skip_connect,skip_connect,avg_pool_3x3,skip_connect,none,cifar10,192448,549482,73.01,15.12,9671,888
18310,18310,nor_conv_3x3,nor_conv_3x3,skip_connect,nor_conv_1x1,nor_conv_3x3,nor_conv_1x1,cifar10,1023456,4226358,93.62,93.39,9648,777
18311,18311,skip_connect,none,skip_connect,none,skip_connect,skip_connect,cifar10,136192,507066,84.51,83.92,9933,777
18312,18312,nor_conv_3x3,none,none,nor_conv_1x1,nor_conv_3x3,avg_pool_3x3,cifar10,749136,2942069,92.96,92.75,9443,777
18313,18313,nor_conv_1x1,avg_pool_3x3,none,skip_connect,nor_conv_1x1,none,cifar10,289968,992995,90.47,90.31,10382,777
18314,18314,avg_pool_3x3,skip_connect,skip_connect,skip_connect,skip_connect,none,cifar10,146320,525372,79.79,62.93,10437,999
18315,18315,skip_connect,nor_conv_3x3,none,none,nor_conv_3x3,skip_connect,cifar10,688592,2687229,91.96,91.91,9794,999
18316,18316,nor_conv_1x1,none,nor_conv_1x1,avg_pool_3x3,nor_conv_1x1,none,cifar10,313664,1222709,89.41,87.88,8990,888
18317,18317,nor_conv_1x1,nor_conv_3x3,avg_pool_3x3,nor_conv_1x1,nor_conv_3x3,nor_conv_3x3,cifar10,1029904,4253201,93.53,93.25,10007,777
18318,18318,skip_connect,nor_conv_1x1,none,nor_conv_1x1,avg_pool_3x3,nor_conv_1x1,cifar10,310160,1216117,89.74,87.85,9257,888
18319,18319,nor_conv_1x1,nor_conv_1x1,nor_conv_1x1,avg_pool_3x3,skip_connect,avg_pool_3x3,cifar10,301392,1233958,89.23,86.33,9769,777
18320,18320,avg_pool_3x3,nor_conv_3x3,nor_conv_1x1,avg_pool_3x3,skip_connect,skip_connect,cifar10,472048,1864625,88.33,57.99,10610,888
18321,18321,none,nor_conv_3x3,avg_pool_3x3,skip_connect,nor_conv_3x3,avg_pool_3x3,cifar10,708784,2731897,91.23,60.97,10665,777
18322,18322,nor_conv_1x1,nor_conv_3x3,nor_conv_1x1,nor_conv_3x3,nor_conv_3x3,none,cifar10,1033600,4235587,92.65,92.6,10186,888
18323,18323,none,nor_conv_1x1,nor_conv_1x1,nor_conv_1x1,avg_pool_3x3,nor_conv_1x1,cifar10,368464,1446965,89.53,59.6,9750,777
18324,18324,avg_pool_3x3,avg_pool_3x3,none,avg_pool_3x3,skip_connect,none,cifar10,186800,581224,74.09,30.25,10697,777
18325,18325,avg_pool_3x3,skip_connect,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,cifar10,224448,822102,84.12,46.26,9589,777
18326,18326,none,avg_pool_3x3,none,none,nor_conv_1x1,none,cifar10,233120,775441,10.0,10.0,10576,999
18327,18327,nor_conv_3x3,nor_conv_3x3,nor_conv_1x1,skip_connect,skip_connect,nor_conv_3x3,cifar10,986832,3997737,94.03,93.84,10337,888
18328,18328,nor_conv_1x1,avg_pool_3x3,skip_connect,none,skip_connect,avg_pool_3x3,cifar10,242384,779757,87.27,78.69,9294,888
18329,18329,avg_pool_3x3,none,avg_pool_3x3,avg_pool_3x3,none,skip_connect,cifar10,186160,580770,70.88,10.17,9615,777
18330,18330,none,nor_conv_3x3,avg_pool_3x3,skip_connect,none,nor_conv_1x1,cifar10,495168,1852661,92.83,92.64,9715,888
18331,18331,skip_connect,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,cifar10,193600,822923,79.9,70.14,10404,888
18332,18332,nor_conv_3x3,avg_pool_3x3,none,nor_conv_1x1,nor_conv_3x3,skip_connect,cifar10,759008,2937461,92.64,92.19,10326,888
18333,18333,avg_pool_3x3,none,nor_conv_1x1,nor_conv_3x3,none,nor_conv_3x3,cifar10,789600,2943285,92.1,89.51,9364,888
18334,18334,nor_conv_1x1,skip_connect,nor_conv_3x3,none,nor_conv_3x3,none,cifar10,727152,2920287,90.96,90.77,10098,888
18335,18335,none,avg_pool_3x3,nor_conv_1x1,none,none,nor_conv_3x3,cifar10,501264,1859317,84.43,14.04,9891,777
18336,18336,skip_connect,none,avg_pool_3x3,nor_conv_1x1,nor_conv_1x1,skip_connect,cifar10,265072,985845,88.63,85.04,9634,888
18337,18337,nor_conv_3x3,nor_conv_1x1,skip_connect,nor_conv_1x1,avg_pool_3x3,avg_pool_3x3,cifar10,499056,2095555,91.38,89.49,10686,777
18338,18338,nor_conv_3x3,none,avg_pool_3x3,nor_conv_3x3,none,avg_pool_3x3,cifar10,730416,2738681,91.82,90.7,10480,888
18339,18339,avg_pool_3x3,none,avg_pool_3x3,nor_conv_1x1,skip_connect,nor_conv_1x1,cifar10,283536,1010541,89.09,85.76,9957,777
18340,18340,nor_conv_3x3,nor_conv_1x1,nor_conv_1x1,skip_connect,nor_conv_3x3,nor_conv_3x3,cifar10,1010704,4228603,94.12,94.06,10676,777
18341,18341,none,none,skip_connect,none,nor_conv_1x1,none,cifar10,201056,751419,10.0,10.0,10448,999
18342,18342,nor_conv_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_1x1,skip_connect,avg_pool_3x3,cifar10,732096,2954406,90.94,87.9,9759,999
18343,18343,avg_pool_3x3,skip_connect,nor_conv_3x3,nor_conv_1x1,avg_pool_3x3,nor_conv_3x3,cifar10,738880,2955843,91.42,89.36,10348,888
18344,18344,none,none,none,nor_conv_3x3,avg_pool_3x3,skip_connect,cifar10,443040,1629649,92.16,92.06,10030,888
18345,18345,none,nor_conv_1x1,skip_connect,avg_pool_3x3,nor_conv_1x1,nor_conv_3x3,cifar10,554928,2076277,91.49,68.34,9996,888
18346,18346,nor_conv_1x1,none,nor_conv_1x1,nor_conv_3x3,none,none,cifar10,546016,2064829,91.87,91.8,8979,999
18347,18347,avg_pool_3x3,avg_pool_3x3,skip_connect,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,cifar10,212528,822923,80.21,29.25,10642,888
18348,18348,skip_connect,nor_conv_1x1,skip_connect,none,none,skip_connect,cifar10,203328,738171,89.73,89.14,10503,888
18349,18349,skip_connect,skip_connect,nor_conv_1x1,skip_connect,nor_conv_3x3,avg_pool_3x3,cifar10,447472,1839086,87.62,80.5,9470,999
